"job_title","experience_level","count","avg_salary","max_salary","min_salary"
"Ai Engineer","Entry","107","72145.71","156037","18802"
"Ai Engineer","Mid","175","92225.07","207925","18099"
"Ai Engineer","Senior","131","124406.69","269684","32076"
"Ai Engineer","Lead","67","157917.6","276550","44732"
"Ai Engineer","Executive","30","191877.83","340887","38851"
"Analytics Engineer","Entry","62","57083.15","135075","14885"
"Analytics Engineer","Mid","103","84384.15","173455","23581"
"Analytics Engineer","Senior","98","95819.9","199236","23298"
"Analytics Engineer","Lead","40","114726.85","241164","26087"
"Analytics Engineer","Executive","17","156993.0","273649","32814"
"Business Intelligence Analyst","Entry","58","44975.91","102924","12422"
"Business Intelligence Analyst","Mid","93","67842.59","135989","12000"
"Business Intelligence Analyst","Senior","99","84119.47","172519","17798"
"Business Intelligence Analyst","Lead","32","92091.56","177946","25251"
"Business Intelligence Analyst","Executive","14","141408.29","208556","23958"
"Computer Vision Engineer","Entry","46","65579.2","171744","18041"
"Computer Vision Engineer","Mid","69","93507.06","223581","27155"
"Computer Vision Engineer","Senior","64","119719.27","208418","28074"
"Computer Vision Engineer","Lead","27","150105.19","227110","41972"
"Computer Vision Engineer","Executive","14","185049.57","285305","58467"
"Data Analyst","Entry","124","44223.1","117070","12000"
"Data Analyst","Mid","219","64597.73","154020","12000"
"Data Analyst","Senior","192","88542.18","212103","15528"
"Data Analyst","Lead","67","99766.63","201474","23826"
"Data Analyst","Executive","34","135029.68","251246","40136"
"Data Engineer","Entry","123","61182.94","129655","12000"
"Data Engineer","Mid","217","85347.35","197387","15986"
"Data Engineer","Senior","218","114379.33","266328","25651"
"Data Engineer","Lead","102","135053.66","340188","25723"
"Data Engineer","Executive","31","153790.9","361230","49914"
"Data Science Manager","Entry","42","61334.79","135376","27667"
"Data Science Manager","Mid","83","95920.0","215173","25541"
"Data Science Manager","Senior","74","128888.47","372347","24220"
"Data Science Manager","Lead","28","185671.32","329944","45318"
"Data Science Manager","Executive","12","179270.58","338452","55672"
"Data Scientist","Entry","139","57201.91","140385","12000"
"Data Scientist","Mid","203","85205.88","203196","12000"
"Data Scientist","Senior","233","104107.36","274050","22257"
"Data Scientist","Lead","110","129714.05","282734","29523"
"Data Scientist","Executive","25","142526.64","320354","38161"
"Llm Engineer","Entry","66","75538.3","149829","13559"
"Llm Engineer","Mid","73","104841.26","220040","22045"
"Llm Engineer","Senior","74","127652.23","275740","38790"
"Llm Engineer","Lead","26","160865.0","283641","49518"
"Llm Engineer","Executive","4","159198.25","217158","61040"
"Machine Learning Engineer","Entry","117","67524.38","171884","12000"
"Machine Learning Engineer","Mid","205","98736.86","259057","23398"
"Machine Learning Engineer","Senior","177","126801.45","295168","24470"
"Machine Learning Engineer","Lead","78","145639.92","352584","33726"
"Machine Learning Engineer","Executive","25","182855.92","312050","50857"
"Mlops Engineer","Entry","69","64747.09","151238","13421"
"Mlops Engineer","Mid","103","84342.0","177107","13633"
"Mlops Engineer","Senior","85","103521.14","261949","23233"
"Mlops Engineer","Lead","39","150614.54","300823","36301"
"Mlops Engineer","Executive","13","190340.85","265216","50070"
"Research Scientist","Entry","45","70378.31","135513","19748"
"Research Scientist","Mid","85","99481.34","226798","15187"
"Research Scientist","Senior","88","114459.7","253442","21757"
"Research Scientist","Lead","47","140980.74","303435","34560"
"Research Scientist","Executive","8","192317.88","273212","146763"
