"job_title","job_count","avg_salary","max_salary","min_salary"
"Data Science Manager","239","114749.84","372347","24220"
"Ai Engineer","510","110770.72","340887","18099"
"Llm Engineer","243","110718.06","283641","13559"
"Machine Learning Engineer","602","110492.65","352584","12000"
"Research Scientist","273","109377.4","303435","15187"
"Computer Vision Engineer","220","108064.53","285305","18041"
"Data Engineer","691","100612.97","361230","12000"
"Mlops Engineer","309","98066.25","300823","13421"
"Data Scientist","710","94840.26","320354","12000"
"Analytics Engineer","320","90246.96","273649","14885"
"Data Analyst","636","75323.96","251246","12000"
"Business Intelligence Analyst","296","74906.89","208556","12000"
