"job_title","work_mode","count","avg_salary","max_salary","min_salary"
"Ai Engineer","Hybrid","142","113061.98","300919","22030"
"Ai Engineer","On-site","233","106349.11","340887","19990"
"Ai Engineer","Remote","135","115992.04","276550","18099"
"Analytics Engineer","Hybrid","96","92605.73","273649","22379"
"Analytics Engineer","On-site","131","87609.59","219995","14885"
"Analytics Engineer","Remote","93","91527.11","241164","20023"
"Business Intelligence Analyst","Hybrid","81","68939.95","155732","13930"
"Business Intelligence Analyst","On-site","137","76811.34","207927","12422"
"Business Intelligence Analyst","Remote","78","77758.31","208556","12000"
"Computer Vision Engineer","Hybrid","61","109712.95","225216","22551"
"Computer Vision Engineer","On-site","90","103083.6","270943","18041"
"Computer Vision Engineer","Remote","69","113104.1","285305","24515"
"Data Analyst","Hybrid","204","74358.78","205386","12749"
"Data Analyst","On-site","263","74695.82","192978","12000"
"Data Analyst","Remote","169","77466.54","251246","12000"
"Data Engineer","Hybrid","202","102153.4","265904","15986"
"Data Engineer","On-site","281","98003.67","340188","12000"
"Data Engineer","Remote","208","102642.04","361230","17368"
"Data Science Manager","Hybrid","72","118683.24","303837","25541"
"Data Science Manager","On-site","99","112084.68","372347","24220"
"Data Science Manager","Remote","68","114465.24","329944","25979"
"Data Scientist","Hybrid","200","93864.75","282734","12000"
"Data Scientist","On-site","304","95140.8","320354","12000"
"Data Scientist","Remote","206","95343.86","274050","15013"
"Llm Engineer","Hybrid","83","119279.12","263082","17225"
"Llm Engineer","On-site","99","105181.17","275740","13559"
"Llm Engineer","Remote","61","108055.49","283641","22656"
"Machine Learning Engineer","Hybrid","171","109538.82","352584","19728"
"Machine Learning Engineer","On-site","261","107134.7","309068","12000"
"Machine Learning Engineer","Remote","170","116607.54","312050","14786"
"Mlops Engineer","Hybrid","93","104022.63","300823","16994"
"Mlops Engineer","On-site","123","94767.59","265216","13633"
"Mlops Engineer","Remote","93","96472.59","261409","13421"
"Research Scientist","Hybrid","76","113960.3","303435","19748"
"Research Scientist","On-site","111","103546.14","253442","15187"
"Research Scientist","Remote","86","112853.79","273212","23325"
